"","gamma","mu_values","k_values","tau_squared_values","av_sigma_squared_true","I_squared","perc_HR.av","perc_LR.av","perc_REP.av","perc_sign.av","perc_HR_sign.av","perc_HR_nonsign.av","perc_LR_sign.av","perc_LR_nonsign.av","perc_REP_sign.av","perc_REP_nonsign.av","bias.unadj","cov.unadj","width.unadj","mse.unadj","bias.tau2.unadj.ML","bias.tau2.unadj.REML","bias.adj","cov.adj","width.adj","mse.adj","bias.tau2.adj.ML","bias.tau2.adj.REML"
"15",1.5,0.2,30,0.009,0.0400574233286835,0.183638974459965,0.313333333333333,0.146666666666667,0.54,0.313333333333333,0,0.313333333333333,0.06,0.0866666666666667,0.253333333333333,0.286666666666667,0.0848720208395253,0.4,0.197554036957333,0.00881571078344164,-0.009,-0.00878709923685493,0.0504575663091548,0.8,0.176384868078541,0.0037802134995045,-0.009,-0.00899999465057558
"16",1.5,0.3,30,0.009,0.0400574233286835,0.183638974459965,0.193333333333333,0.113333333333333,0.693333333333333,0.5,0,0.193333333333333,0.08,0.0333333333333333,0.42,0.273333333333333,0.0709716808891835,0.4,0.175030520635902,0.00636628940148688,-0.00809520347473638,-0.00764832162179269,0.0415661066575358,1,0.162470258313835,0.00291214960060529,-0.00809873088191685,-0.00765679689513613
"17",1.5,0.4,30,0.009,0.0400574233286835,0.183638974459965,0.113333333333333,0.06,0.826666666666667,0.666666666666667,0,0.113333333333333,0.04,0.02,0.626666666666667,0.2,0.0622126403982448,0.8,0.160950340140796,0.00462195191277038,-0.00761096366976917,-0.00721904815267543,0.0373297555812016,1,0.154438382581169,0.0018418669938379,-0.00728470931026219,-0.00684448768154617
"18",1.5,0.5,30,0.009,0.0400574233286835,0.183638974459965,0.04,0.0133333333333333,0.946666666666667,0.8,0,0.04,0.0133333333333333,0,0.786666666666667,0.16,0.0274882423789275,1,0.15546468079752,0.00130630209764243,-0.00523734911328952,-0.00422932452078043,0.017413626451267,1,0.154548895933805,0.000891409790178481,-0.0044108192822843,-0.00332047945765985
"19",1.5,0,5,0.039,0.0399091349079786,0.494537220535304,0.32,0.04,0.64,0.16,0,0.32,0,0.04,0.16,0.48,0.0551524980897796,1,0.813314914321744,0.0213268857713461,-0.0024758040715796,0.0293215311145943,0.0343210842129479,1,0.693447331489419,0.0201453812233435,-0.00912845186450293,0.0104339924732229
"20",1.5,0.1,5,0.039,0.0399091349079786,0.494537220535304,0.24,0.08,0.68,0.24,0,0.24,0,0.08,0.24,0.44,0.0907978349299648,0.8,0.701804263446726,0.0301764770522522,-0.0144018978305214,0.00742516366501329,0.0702271540155871,0.8,0.619771409546736,0.027593899862345,-0.0178162654621938,-0.00238579187536362
"21",1.5,0.2,5,0.039,0.0399091349079786,0.494537220535304,0.16,0.12,0.72,0.36,0,0.16,0,0.12,0.36,0.36,0.106074393491431,0.8,0.655317475172685,0.0197927530685636,-0.0199689387688458,-0.000207855976426795,0.0803593433264135,0.8,0.598333737026826,0.0160575183871613,-0.0221194499212651,-0.00555562126686344
"22",1.5,0.3,5,0.039,0.0399091349079786,0.494537220535304,0.16,0.12,0.72,0.44,0,0.16,0,0.12,0.44,0.28,0.106072894152649,0.8,0.65531758983669,0.0197900547532809,-0.0199662310785529,-0.000207855979902924,0.0672917673584902,0.8,0.613349729298346,0.0147214974043186,-0.0208184517971559,-0.000912579244887843
"23",1.5,0.4,5,0.039,0.0399091349079786,0.494537220535304,0.16,0.08,0.76,0.6,0,0.16,0,0.08,0.6,0.16,0.0910037753297093,0.8,0.606285113553968,0.0177369790058063,-0.0214550341352459,-0.00562720652643393,0.0432566438658992,0.8,0.591701599726861,0.0138838150585471,-0.0205984367204656,-0.000762850279699219
"24",1.5,0.5,5,0.039,0.0399091349079786,0.494537220535304,0.04,0.04,0.92,0.72,0,0.04,0.04,0,0.68,0.24,0.0342554435241838,0.8,0.558163304323881,0.0104805864592101,-0.0192025488106439,-0.00233772255929445,0.0202789265520605,0.8,0.552002089110203,0.013327891336262,-0.0181059821652634,-0.000218014433121385
